l1Pt,l1Eta,l1Phi,l1E,l2Pt,l2Eta,l2Phi,l2E
37.47202,-1.72706,0.15432,108.70486,43.13252,-2.14048,-2.62869,185.92558
32.05474,-3.70552,0.91104,652.24860,31.47750,-2.20646,-2.00899,144.69576
20.67461,2.09772,-1.90213,85.49273,13.56363,-0.97147,2.09268,20.48340
27.18573,1.67473,-2.66189,75.09637,28.29495,3.58168,0.08773,508.76508
39.52038,-3.34697,2.98252,562.21124,34.82254,-4.23752,-0.28311,1205.73132
12.77115,2.61587,-0.52119,87.81577,14.44359,-0.86082,0.82094,20.13374
29.47581,-3.19536,0.81660,360.48956,36.62167,-1.82355,-2.77416,116.36977
30.23863,3.18040,2.00247,364.34546,19.26410,0.99854,-1.01529,29.69309
28.90795,-4.58417,-1.80116,1415.50269,8.04632,-1.28916,2.54812,15.71144
37.26738,1.33161,1.69224,75.48868,40.19592,1.75213,-1.49962,119.38793
26.63260,3.25380,2.22852,345.25519,39.45230,1.80658,-1.40670,123.36289
41.11200,-2.49646,-2.10817,251.23273,41.93410,-2.45516,1.22497,246.03012
27.83894,2.39701,-0.75647,154.24501,29.35837,0.59080,2.33096,34.63275
44.40594,-0.98544,-1.16457,67.76928,13.40143,1.25849,1.22550,25.49071
26.32454,-0.24560,-0.54372,27.12247,39.76343,-1.67958,2.54674,110.33849
28.24114,-2.05012,1.31589,111.51770,33.12905,-3.22504,-2.13911,417.33209
19.40098,-3.76348,-1.06760,418.29855,43.86575,-2.10463,2.05695,182.61163
29.56839,-3.64816,-1.10006,568.15710,26.96670,-1.85086,2.13689,87.94382
26.98059,0.24200,1.12392,27.77452,39.99747,-1.21876,-2.39234,73.56737
28.35765,0.50253,2.45748,32.01425,56.87384,-0.00492,-1.34235,56.87453
23.65701,-1.52397,2.91267,56.87465,26.37186,-3.70441,-0.20970,536.01849
32.82555,0.42817,2.27273,35.88070,29.62931,1.89450,-1.13091,100.73444
38.35700,1.75429,-1.08386,114.15728,31.71614,0.70741,2.11406,39.98840
20.86845,-0.95480,0.52449,31.12576,12.66930,-3.90988,-2.31538,316.18216
20.66902,2.52509,-2.48506,129.92654,10.81919,-0.87678,-2.83545,15.25114
37.39146,5.01748,-2.66370,2823.75537,17.33840,2.69237,-1.18822,128.60234
41.81640,0.80973,-0.92764,56.29079,32.23404,-0.11385,2.36641,32.44318
44.85262,-0.84446,2.36914,61.81829,29.46156,-2.01874,-1.08325,112.86229
72.72310,-0.06492,0.96390,72.87643,31.80858,0.57806,2.39095,37.27266
38.21340,0.80504,-1.38578,51.27966,33.11085,-0.26257,1.34248,34.25880
41.11835,-3.26432,1.23792,538.66364,38.73283,-3.55828,-2.20911,680.36676
43.95679,-3.12687,2.62381,502.12579,36.91442,-2.66784,-1.03961,267.22775
31.90559,-2.63580,0.51026,223.75681,24.17966,-4.58756,-1.62822,1188.00317
15.05520,0.51801,-2.18314,17.12069,20.20742,-2.66277,-2.25099,145.55164
32.43534,-0.15976,-2.22120,32.85014,52.17639,0.44481,1.61498,57.42380
36.71765,2.13913,-1.03188,158.06613,35.20844,1.18438,2.11481,62.92773
15.27963,-2.16029,2.30531,67.14569,21.37601,-4.89018,-1.12780,1421.35046
35.78579,-1.88639,-2.52468,120.72561,52.18015,-1.80775,1.04711,163.34247
31.87868,2.73131,2.32026,245.75546,35.22559,4.00601,-0.84079,967.74341
47.69173,-3.83603,-2.41152,1105.55444,38.13835,-2.95746,1.15729,368.05457
42.55804,-0.93995,-0.92138,62.78389,40.30126,-1.51365,1.68052,95.98512
19.49165,-0.19818,-0.88256,19.87568,53.44625,-1.63983,1.86930,142.92406
33.95278,-1.06936,1.52302,55.28763,21.17694,0.80061,-0.88256,28.33417
35.78576,-2.17751,-1.87215,159.92018,27.78161,-0.40902,2.46028,30.13808
22.39761,3.55489,-2.45120,392.09836,21.88120,1.06103,0.68113,35.39762
40.14837,-1.49283,-1.52523,93.83501,41.85815,-1.30203,1.59843,82.64310
28.52781,2.76475,-2.19291,227.33862,36.17231,4.28841,0.37696,1317.84045
49.27414,1.98891,0.42010,183.40804,31.99063,2.51170,-2.79009,198.45355
36.93237,-3.95774,2.39028,966.85272,42.93147,-3.55159,-0.45618,749.09467
24.43082,0.41152,-0.19011,26.52879,20.21825,2.80714,2.92969,168.04214
29.04015,-1.44230,-0.20285,64.85801,36.77691,-0.07046,2.85612,36.86824
24.23066,3.25225,2.31121,313.63000,32.66379,5.10257,-0.46969,2685.78711
47.90621,3.96375,-1.86762,1261.69434,32.57544,3.43723,1.10595,507.08304
38.00870,2.18481,1.83951,171.06706,38.17158,2.83146,-1.27674,325.01413
35.97417,-1.98208,-2.33026,133.02507,33.20978,-0.80735,0.67187,44.63382
31.18355,2.22296,-0.67706,145.67319,29.67310,0.67280,2.41223,36.64626
16.25059,-0.08773,1.60513,16.31316,13.69875,3.20285,-1.39293,168.79025
38.99407,1.16593,1.39800,68.64003,42.57762,1.66002,-2.13171,116.01460
39.13704,-2.96602,-2.70196,380.92169,41.75797,-2.77766,0.39732,337.06006
38.09016,-1.37452,0.09394,80.10638,32.63337,0.42502,1.22468,35.62543
10.10298,-0.87390,1.92165,14.21266,16.11733,-4.49791,-0.95855,723.99274
29.50742,1.65659,0.62782,80.14492,23.33154,-0.38295,-2.49575,25.06330
20.81059,-0.45476,-2.87006,22.99980,10.25652,-3.87320,-1.58868,246.75499
