Mjj dEta Zepp N_exp_sig N_exp_bkg Sigma
600 2.0 2.9 75.5086849249 224.511799421 4.36
600 2.0 2.8 75.4655012328 223.620087371 4.36
600 2.0 2.7 75.4187188996 222.547751346 4.37
600 2.0 2.6 75.3487453244 221.32331092 4.37
600 2.0 2.5 75.2531814132 220.093166579 4.38
600 2.0 2.4 75.1368253538 218.693806092 4.38
600 2.0 2.3 74.9920800154 217.155650339 4.39
600 2.0 2.2 74.7901562698 215.539541081 4.39
600 2.0 2.1 74.5702393192 213.820761353 4.39
600 2.0 2.0 74.2523593633 212.037337254 4.39
600 2.0 1.9 73.8605073421 210.20638053 4.38
600 2.0 1.8 73.4146757059 208.23282593 4.37
600 2.0 1.7 72.8564865003 206.303001346 4.36
600 2.0 1.6 72.1707454633 204.238184106 4.34
600 2.0 1.5 71.373046706 202.03837421 4.32
600 2.0 1.4 70.359829337 199.870886499 4.28
600 2.0 1.3 69.2414516808 197.581715268 4.24
600 2.0 1.2 67.9415425781 195.288741427 4.19
600 2.0 1.1 66.4265147127 192.718177054 4.13
600 2.0 1.0 64.6959682357 190.041139601 4.05
600 2.1 2.9 75.0300656705 221.011496898 4.36
600 2.1 2.8 74.9868819784 220.121686154 4.37
600 2.1 2.7 74.9404994943 219.055054044 4.37
600 2.1 2.6 74.8705259191 217.834416228 4.38
600 2.1 2.5 74.7753618568 216.615679717 4.38
600 2.1 2.4 74.6602053445 215.22392445 4.39
600 2.1 2.3 74.516259704 213.699077832 4.39
600 2.1 2.2 74.3155355055 212.101981625 4.39
600 2.1 2.1 74.0964182528 210.404116251 4.39
600 2.1 2.0 73.7805375419 208.643507812 4.39
600 2.1 1.9 73.3902849168 206.833465444 4.38
600 2.1 1.8 72.9464525255 204.878923894 4.38
600 2.1 1.7 72.3914621119 202.96811236 4.36
600 2.1 1.6 71.7101194139 200.94892644 4.34
600 2.1 1.5 70.9148197506 198.781438729 4.32
600 2.1 1.4 69.9064005697 196.653878423 4.28
600 2.1 1.3 68.7956200445 194.412239817 4.24
600 2.1 1.2 67.5009089788 192.155390771 4.19
600 2.1 1.1 65.9930783954 189.630457719 4.13
600 2.1 1.0 64.2697292005 187.012360721 4.05
600 2.2 2.9 74.515060157 217.336274315 4.36
600 2.2 2.8 74.4722763139 216.450266181 4.37
600 2.2 2.7 74.4258938298 215.385535376 4.37
600 2.2 2.6 74.3559202546 214.170601475 4.38
600 2.2 2.5 74.2607561923 212.961371489 4.38
600 2.2 2.4 74.146399378 211.586727967 4.39
600 2.2 2.3 74.0032534356 210.071387875 4.39
600 2.2 2.2 73.803328935 208.491403412 4.39
600 2.2 2.1 73.5850113804 206.814452393 4.39
600 2.2 2.0 73.2699303674 205.06715309 4.39
600 2.2 1.9 72.8800775913 203.274222466 4.39
600 2.2 1.8 72.438244445 201.352003102 4.38
600 2.2 1.7 71.8852532764 199.467809837 4.36
600 2.2 1.6 71.2063096725 197.498057848 4.34
600 2.2 1.5 70.4154083482 195.378102762 4.32
600 2.2 1.4 69.4149861473 193.290469862 4.28
600 2.2 1.3 68.3106032061 191.077350831 4.24
600 2.2 1.2 67.0238891204 188.87944224 4.19
600 2.2 1.1 65.5252550641 186.394436593 4.13
600 2.2 1.0 63.8095030001 183.82387222 4.05
600 2.3 2.9 73.9308807664 213.491835586 4.36
600 2.3 2.8 73.8884967722 212.613432672 4.37
600 2.3 2.7 73.8421142881 211.562011002 4.37
600 2.3 2.6 73.7725405619 210.352781016 4.38
600 2.3 2.5 73.6777763486 209.153057555 4.38
600 2.3 2.4 73.5634195343 207.793624473 4.39
600 2.3 2.3 73.4206734409 206.295396126 4.39
600 2.3 2.2 73.2215486383 204.736326018 4.39
600 2.3 2.1 73.0036309327 203.08979588 4.39
600 2.3 2.0 72.6893496178 201.372917457 4.39
600 2.3 1.9 72.3010962376 199.602802493 4.38
600 2.3 1.8 71.8624618834 197.705300094 4.38
600 2.3 1.7 71.3118698088 195.849626404 4.36
600 2.3 1.6 70.6373245438 193.89698616 4.34
600 2.3 1.5 69.8516212566 191.81315587 4.32
600 2.3 1.4 68.8575966397 189.757845154 4.28
600 2.3 1.3 67.7604109805 187.577048309 4.24
600 2.3 1.2 66.4800944789 185.439981478 4.19
600 2.3 1.1 64.9942555906 183.010113676 4.13
600 2.3 1.0 63.2920983927 180.475674099 4.05
600 2.4 2.9 73.2647323304 209.438253306 4.36
600 2.4 2.8 73.2231480343 208.569356917 4.36
600 2.4 2.7 73.1771653992 207.523639162 4.37
600 2.4 2.6 73.107591673 206.325817006 4.37
600 2.4 2.5 73.0136271577 205.15081051 4.38
600 2.4 2.4 72.8992703434 203.802785259 4.38
600 2.4 2.3 72.758123646 202.329273876 4.39
600 2.4 2.2 72.5609980884 200.796822039 4.39
600 2.4 2.1 72.3438800808 199.173107561 4.39
600 2.4 2.0 72.0315980109 197.480946103 4.39
600 2.4 1.9 71.6441443288 195.741252019 4.38
600 2.4 1.8 71.2079090685 193.88557833 4.37
600 2.4 1.7 70.6613154839 192.071733351 4.36
600 2.4 1.6 69.99036886 190.151415291 4.34
600 2.4 1.5 69.2102634587 188.113216321 4.31
600 2.4 1.4 68.2210370299 186.095931706 4.28
600 2.4 1.3 67.1298491057 183.943654436 4.24
600 2.4 1.2 65.8563300371 181.861725451 4.18
600 2.4 1.1 64.3840860148 179.504107239 4.12
600 2.4 1.0 62.6991223239 177.036213337 4.05
600 2.5 2.9 72.5382066953 205.293408386 4.35
600 2.5 2.8 72.4978219462 204.434018522 4.36
600 2.5 2.7 72.4518393111 203.392103377 4.36
600 2.5 2.6 72.3822655849 202.203787746 4.37
600 2.5 2.5 72.2883010696 201.04018908 4.37
600 2.5 2.4 72.1751438023 199.707374268 4.38
600 2.5 2.3 72.0343969539 198.262382461 4.38
600 2.5 2.2 71.8392706413 196.752746284 4.38
600 2.5 2.1 71.6241518787 195.148044856 4.39
