Mjj dEta Zepp N_exp_sig N_exp_bkg Sigma
600 2.0 2.9 75.4265403784 223.856079569 4.36
600 2.0 2.8 75.3855424814 222.922313777 4.36
600 2.0 2.7 75.3375917246 221.885810918 4.37
600 2.0 2.6 75.2687823886 220.726023577 4.37
600 2.0 2.5 75.1771964432 219.495461812 4.38
600 2.0 2.4 75.0592375816 218.095954647 4.38
600 2.0 2.3 74.9127480197 216.616540874 4.39
600 2.0 2.2 74.7089573035 214.979596931 4.39
600 2.0 2.1 74.4802321938 213.279869224 4.39
600 2.0 2.0 74.1791014414 211.529914507 4.39
600 2.0 1.9 73.7907003116 209.73429887 4.38
600 2.0 1.8 73.3150288046 207.818823322 4.37
600 2.0 1.7 72.7621565792 205.875951222 4.36
600 2.0 1.6 72.0894074619 203.805228549 4.34
600 2.0 1.5 71.2821564719 201.642042515 4.31
600 2.0 1.4 70.2814241784 199.429770993 4.28
600 2.0 1.3 69.1641715459 197.217499472 4.24
600 2.0 1.2 67.8706998824 194.86710367 4.19
600 2.0 1.1 66.3552162151 192.305526119 4.13
600 2.0 1.0 64.6407369073 189.678881758 4.05
600 2.1 2.9 74.9503893638 220.254574589 4.36
600 2.1 2.8 74.9093914668 219.324233366 4.37
600 2.1 2.7 74.8616804638 218.294579645 4.37
600 2.1 2.6 74.7928711278 217.143924488 4.38
600 2.1 2.5 74.7015249362 215.920211861 4.38
600 2.1 2.4 74.5845250897 214.52983688 4.39
600 2.1 2.3 74.4385150354 213.061838336 4.39
600 2.1 2.2 74.2356833343 211.443158761 4.39
600 2.1 2.1 74.0076774859 209.762836945 4.39
600 2.1 2.0 73.7084647638 208.031146595 4.39
600 2.1 1.9 73.3217419105 206.258361418 4.39
600 2.1 1.8 72.8479884338 204.362291759 4.38
600 2.1 1.7 72.2977535 202.445674688 4.36
600 2.1 1.6 71.6281211819 200.42289598 4.34
600 2.1 1.5 70.8235074835 198.292814112 4.32
600 2.1 1.4 69.8275702657 196.121637418 4.28
600 2.1 1.3 68.717270493 193.956168338 4.24
600 2.1 1.2 67.4290734127 191.644584318 4.19
600 2.1 1.1 65.9207823589 189.135516823 4.13
600 2.1 1.0 64.21637271 186.563665565 4.06
600 2.2 2.9 74.4430703573 216.621106966 4.36
600 2.2 2.8 74.4023122141 215.693048789 4.37
600 2.2 2.7 74.3546012111 214.666819636 4.37
600 2.2 2.6 74.2857918751 213.523013618 4.38
600 2.2 2.5 74.1944456835 212.308433174 4.38
600 2.2 2.4 74.0784048522 210.929473423 4.39
600 2.2 2.3 73.9328743054 209.468324018 4.39
600 2.2 2.2 73.7305221119 207.865625764 4.39
600 2.2 2.1 73.5037150324 206.208134407 4.39
600 2.2 2.0 73.2054613254 204.486717764 4.39
600 2.2 1.9 72.8206565024 202.73448 4.39
600 2.2 1.8 72.3488210559 200.870372985 4.38
600 2.2 1.7 71.8002643986 198.978869419 4.36
600 2.2 1.6 71.1327898646 197.00175163 4.34
600 2.2 1.5 70.3327314881 194.912764589 4.32
600 2.2 1.4 69.3432676224 192.782682722 4.28
600 2.2 1.3 68.238242433 190.645751716 4.24
600 2.2 1.2 66.9581969814 188.386677753 4.19
600 2.2 1.1 65.4592563251 185.916422039 4.13
600 2.2 1.0 63.7634778124 183.386807131 4.06
600 2.3 2.9 73.8647842308 212.777599116 4.36
600 2.3 2.8 73.8242658414 211.856390077 4.37
600 2.3 2.7 73.7765548384 210.839293108 4.37
600 2.3 2.6 73.7084647638 209.702336227 4.38
600 2.3 2.5 73.6173583259 208.494604922 4.38
600 2.3 2.4 73.5017970022 207.132768015 4.39
600 2.3 2.3 73.3565062092 205.683033839 4.39
600 2.3 2.2 73.154873277 204.100882999 4.39
600 2.3 2.1 72.9285457051 202.474212762 4.39
600 2.3 2.0 72.6307715057 200.777909624 4.39
600 2.3 1.9 72.2474052054 199.04850232 4.39
600 2.3 1.8 71.7784468043 197.206084242 4.38
